r,twist_rad,chord,axial,tangential,wu1,wu2,wu3,wu4,wu5,wu6,wu7,wu8,wl1,wl2,wl3,wl4,wl5,wl6,wl7,wl8,leading_edge_weight,dz
5.0328711430614518e+01,-2.6132028891603010e-01,2.4626656904902951e+01,-4.3263585130514883e+00,-2.6087786352564191e+00,1.4183191405960943e-01,3.6960468863907026e-01,-1.6661181239134346e-01,8.0041447087337192e-01,-5.2323695992985131e-01,7.9897980114038025e-01,-1.3920074618926653e-01,4.4866014667405807e-01,-1.0209247995759431e-01,1.5519611968187011e-01,-7.3094137636380299e-02,1.8669433254061543e-01,5.8336395706646540e-04,5.9148271635132969e-02,2.1600337892183080e-01,-7.4358036133164773e-02,0.0000000000000000e+00,0.0000000000000000e+00
5.5121860353536839e+01,-2.4326837229918535e-01,2.3191857668338116e+01,-4.5317620945144554e+00,-2.3421199400995132e+00,1.6057026426425944e-01,3.5406305769345597e-01,-1.0972589702994107e-01,6.9229941544006490e-01,-3.7859812519347064e-01,6.8139819089757503e-01,-3.7004873267000526e-02,3.5268196502579069e-01,-7.7641327982346076e-02,1.4452001467318765e-01,-4.6686441647356178e-02,1.6827533982783818e-01,1.9857324812874801e-02,5.2390819022940523e-02,2.0712481542867958e-01,-6.6128155908474609e-02,0.0000000000000000e+00,0.0000000000000000e+00
5.9915009276459152e+01,-2.3662636113237082e-01,2.1876349531486433e+01,-4.7654781412870806e+00,-2.1612695697335402e+00,1.2445156852304751e-01,3.9789713612182220e-01,-2.2598645632389916e-01,8.2299606920965707e-01,-5.0001763156537782e-01,7.4649206961538450e-01,-9.8651787813754277e-02,3.9606947894894523e-01,-1.3592869826545270e-01,2.3022308593865787e-01,-2.1922188938347853e-01,3.6528286223715511e-01,-1.5369161139851320e-01,1.2900595844129756e-01,2.0157080793642282e-01,-1.0386368547342976e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.4708158199381472e+01,-2.2445167288856246e-01,2.0630058883249895e+01,-4.9412908646877245e+00,-1.9125526004589783e+00,1.1070633510047262e-01,4.4157221160235155e-01,-3.3240051749963045e-01,1.0652365053586872e+00,-8.0884751029042168e-01,1.0119769925684636e+00,-2.5123643396445033e-01,5.0138069609181135e-01,-1.2035949296484354e-01,1.9225305810833651e-01,-1.3531315348351275e-01,2.1515401122059369e-01,5.8811585752031853e-02,-9.0820156010720104e-02,3.8439430543012143e-01,-2.0805672770633202e-01,0.0000000000000000e+00,-4.3368086899420177e-19
6.9501307122303785e+01,-2.0205853069557714e-01,1.9428859987751899e+01,-5.0396060172891728e+00,-1.6697388561929931e+00,2.1359842534024556e-01,2.4056258197135735e-01,1.5219167904369935e-01,3.9980840578038568e-01,-1.1798217021532756e-01,5.6642929243699813e-01,-5.4870002120882888e-02,4.8292278217239742e-01,-4.8380201809181421e-02,1.3946406452916929e-01,-5.4535711087588456e-03,8.1169691824409196e-02,2.0637773138637280e-01,-1.6690954566638252e-01,4.1872284323576875e-01,-1.9007958208273620e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.4294456045226099e+01,-1.9718616410578527e-01,1.8273614591494052e+01,-5.2984525253643380e+00,-1.4362633869869290e+00,1.0160089371159951e-01,4.7927298267998275e-01,-4.4056884887394565e-01,1.2193585814710814e+00,-1.0382441237184865e+00,1.2452871098171563e+00,-4.0676637275487093e-01,6.2807652487166332e-01,-1.4479636448312369e-01,2.6151302443521923e-01,-2.7483109689909219e-01,4.2760688608100350e-01,-2.0685868246377492e-01,1.7763935196022704e-01,1.7361585496565310e-01,-6.8701664207152915e-02,0.0000000000000000e+00,-8.6736173798840355e-18
7.9087604968148412e+01,-1.8521444456427247e-01,1.7101912275032468e+01,-5.3492971328991823e+00,-1.1188717442742337e+00,1.4258051100868174e-01,4.3037074566795536e-01,-2.8932336085164551e-01,1.0878240068804466e+00,-9.5179282126616238e-01,1.3564991842437779e+00,-5.9260181715327054e-01,9.2088202506184280e-01,-8.5422167050656764e-02,1.7844849722989023e-01,-1.0390845919379858e-01,3.0076942276269908e-01,-1.5341263096056906e-01,2.9994755580605520e-01,3.7394376542010783e-02,1.7706283671321960e-01,0.0000000000000000e+00,-6.0715321659188248e-18
8.3880753891070725e+01,-1.6313334154551881e-01,1.6252337057535392e+01,-5.5435469481740816e+00,-9.9183724681601726e-01,1.1875957789233486e-01,4.2806666983309455e-01,-2.3582597914970227e-01,8.7429960829435416e-01,-6.3297731245323030e-01,9.5280464539724408e-01,-3.0299830157423252e-01,6.1133671244226839e-01,-7.0268145059132620e-02,8.1945162933599408e-02,1.4625207279342708e-01,-2.0134136797447988e-01,5.2701610227155193e-01,-4.5006538354494202e-01,6.0907899865683957e-01,-3.6710533922295130e-01,0.0000000000000000e+00,4.3368086899420177e-19
8.8673902813993038e+01,-1.5303170555588147e-01,1.5267036094403455e+01,-5.6250732378774542e+00,-7.5692334446025988e-01,1.0184704342154188e-01,4.8857956744878472e-01,-4.1726886774747562e-01,1.2319461274922066e+00,-1.0880919632576735e+00,1.3742101280702050e+00,-5.6056852156700399e-01,8.1464624691199716e-01,-1.0614029863806647e-01,1.9567427920710012e-01,-1.3081797601078060e-01,2.8011641382874136e-01,-5.0366355427184491e-02,8.9967021084787505e-02,2.4610939071087565e-01,-5.9511210669398483e-02,0.0000000000000000e+00,0.0000000000000000e+00
9.3467051736915352e+01,-1.3701066980283388e-01,1.4361023159088750e+01,-5.7461203967729482e+00,-6.5031152552155547e-01,1.2672179902507974e-01,3.8199300316988788e-01,-2.0876520833597514e-01,8.6289376006626994e-01,-6.8871334589057309e-01,1.0237074037351515e+00,-3.4987375234930052e-01,6.4407025030504683e-01,-1.3666199917527419e-01,2.3313773424076520e-01,-2.0222279258287840e-01,3.3965247767550621e-01,-8.2086212816769602e-02,1.8854256568851369e-02,3.3611032146969833e-01,-2.3931914273999372e-01,0.0000000000000000e+00,0.0000000000000000e+00
9.8260200659837665e+01,-1.2429310849972554e-01,1.3462823340268628e+01,-5.8301464678572028e+00,-4.5011065226187519e-01,1.2407298266806276e-01,3.0810870607178570e-01,-7.7627261340598913e-02,6.3843093357830483e-01,-4.2761254383730762e-01,7.8762546306047532e-01,-1.8276724167889835e-01,5.6500147579268045e-01,-1.8918697992668118e-01,3.1903500907624582e-01,-4.1656798259716665e-01,5.9750592521275125e-01,-3.2336011120212704e-01,1.4626180636078534e-01,2.3315805661938127e-01,-2.1154599874218061e-01,0.0000000000000000e+00,7.8062556418956319e-18
1.0305334958275999e+02,-1.0573473790108981e-01,1.2811343455841039e+01,-5.7690983254916173e+00,-2.0240010970976119e-01,1.0783392152022254e-01,4.6036378766058983e-01,-3.5908932410431371e-01,1.1981332381939864e+00,-1.1055729224255022e+00,1.4796702962117956e+00,-6.6990078436950540e-01,9.6473653314754026e-01,-1.5062636567151352e-01,2.6029049434928714e-01,-2.4116861945721005e-01,3.3413126874733179e-01,8.2279232616133541e-03,-7.9364757207859390e-02,3.7399968703723374e-01,-2.5692429782349496e-01,0.0000000000000000e+00,3.4694469519536142e-18
1.0784649850568231e+02,-9.1232576937454832e-02,1.2086562848349825e+01,-5.8041488102104148e+00,-6.7690880040073065e-02,7.2806393687027904e-02,4.7435112459552586e-01,-4.5579920615958114e-01,1.3675635577211558e+00,-1.4143837990597090e+00,1.7877460100471727e+00,-9.2435559995388450e-01,1.0725270957437831e+00,-1.8261623869374566e-01,2.6858444319677671e-01,-2.8022490818626938e-01,3.5263569082350382e-01,-2.1862014835511787e-02,-7.7195702146056297e-02,3.8143488894670158e-01,-3.4255725817582161e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.1263964742860462e+02,-7.1986296241700901e-02,1.1470529979361393e+01,-5.7801940992229204e+00,1.2179702644691615e-01,9.8917845827751399e-02,4.2217400641849023e-01,-3.1510621667860250e-01,1.0380700887414029e+00,-8.1597644065020258e-01,1.0709893066045375e+00,-3.2287747115468102e-01,6.6426604454170712e-01,-1.6514700203197308e-01,2.2005247176598550e-01,-1.8126752503535454e-01,2.0821656912838452e-01,1.3421792722367357e-01,-1.9608839266978043e-01,4.1760610976467821e-01,-3.9784254632340843e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.1743279635152693e+02,-6.9159368243709662e-02,1.0412978297849278e+01,-5.7467525286615437e+00,-3.0633042783482001e-02,1.8215240210203062e-01,3.5279125721083687e-01,-2.4157106434091336e-01,1.0623828619015163e+00,-1.0837288101443965e+00,1.5852855719194419e+00,-8.8184504924064300e-01,1.2535811108633828e+00,-7.0147039494506999e-02,-4.6014142956810472e-02,2.8868555370718291e-01,-3.9542874102898684e-01,6.1814542441384535e-01,-4.5620569932687771e-01,4.9538771589526798e-01,-3.6748992389807694e-01,0.0000000000000000e+00,-6.0715321659188248e-18
